county,percentage w internet,matched edu,matched population,matched temp,matched humidity,matched emissions
"Cook County, Minnesota",81,34.5,5600,29.7,66.5,38
"Cottonwood County, Minnesota",72.5,13.9,11517,33,66.5,38
"Crow Wing County, Minnesota",77.3,18.4,66123,31.1,66.5,38
"Dakota County, Minnesota",87.7,27.9,439882,34.4,66.5,38
"Dodge County, Minnesota",82.6,18.1,20867,33.6,66.5,38
"Douglas County, Minnesota",77.7,18.9,39006,29.4,66.5,38
"Faribault County, Minnesota",71.6,13.9,13921,34,66.5,38
"Fillmore County, Minnesota",76.2,15.3,21228,33.8,66.5,38
"Freeborn County, Minnesota",71.3,12,30895,33.9,66.5,38
"Goodhue County, Minnesota",77.2,18.1,47582,34.4,66.5,38
"Grant County, Minnesota",73.5,12.5,6074,29.3,66.5,38
"Hennepin County, Minnesota",85.8,34.8,1281565,33.8,66.5,38
"Houston County, Minnesota",75.3,17.1,18843,36.4,66.5,38
"Hubbard County, Minnesota",75.9,20.7,21344,28.7,66.5,38
"Isanti County, Minnesota",79.3,12.2,41135,33.4,66.5,38
"Itasca County, Minnesota",72.9,17.9,45014,28.4,66.5,38
"Jackson County, Minnesota",77.3,16.1,9989,33.4,66.5,38
"Kanabec County, Minnesota",69.7,10.6,16032,32.1,66.5,38
"Kandiyohi County, Minnesota",75.9,16.1,43732,31.3,66.5,38
"Kittson County, Minnesota",73.6,19.2,4207,25.3,66.5,38
"Koochiching County, Minnesota",69.5,11.6,12062,27.5,66.5,38
"Lac qui Parle County, Minnesota",75.6,13.8,6719,31.7,66.5,38
"Lake County, Minnesota",74.9,20.7,10905,28.6,66.5,38
"Lake of the Woods County, Minnesota",72.1,15.9,3763,27.1,66.5,38
"Le Sueur County, Minnesota",77.3,15.7,28674,34.9,66.5,38
"Lincoln County, Minnesota",72.7,13.5,5640,31.8,66.5,38
"Lyon County, Minnesota",79.7,17.1,25269,32.5,66.5,38
"McLeod County, Minnesota",78.8,11.7,36771,33.2,66.5,38
"Mahnomen County, Minnesota",58.3,8,5411,26.7,66.5,38
"Marshall County, Minnesota",71.5,13.4,9040,25,66.5,38
"Martin County, Minnesota",67.8,15.2,20025,33.8,66.5,38
"Meeker County, Minnesota",75.6,12.3,23400,31.7,66.5,38
"Mille Lacs County, Minnesota",70.1,10.8,26459,32,66.5,38
"Morrison County, Minnesota",71.5,11.7,34010,31.5,66.5,38
"Mower County, Minnesota",71.9,15.1,40029,33.5,66.5,38
"Murray County, Minnesota",71.6,15,8179,31.8,66.5,38
"Nicollet County, Minnesota",80.5,22.2,34454,34.5,66.5,38
"Nobles County, Minnesota",69.6,10.1,22290,32.2,66.5,38
"Norman County, Minnesota",71.3,14.9,6441,25.9,66.5,38
"Olmsted County, Minnesota",84.9,30.3,162847,33.6,66.5,38
"Otter Tail County, Minnesota",73.1,18,60081,29,66.5,38
"Pennington County, Minnesota",76.2,13.7,13992,25.3,66.5,38
"Pine County, Minnesota",70.6,11.4,28876,31.4,66.5,38
"Pipestone County, Minnesota",70.3,12.7,9424,31.9,66.5,38
"Polk County, Minnesota",73.1,18.5,31192,25.6,66.5,38
"Pope County, Minnesota",75.6,16.1,11308,30,66.5,38
"Ramsey County, Minnesota",81.7,28.5,552352,34.3,66.5,38
"Red Lake County, Minnesota",68.3,12.1,3935,28.6,66.5,38
"Redwood County, Minnesota",72.2,12.8,15425,32.9,66.5,38
"Renville County, Minnesota",69.9,10.4,14723,32.6,66.5,38
"Rice County, Minnesota",76.7,18,67097,34.3,66.5,38
"Rock County, Minnesota",75.9,15.8,9704,32.4,66.5,38
"Roseau County, Minnesota",71.2,12.9,15331,25.8,66.5,38
"St. Louis County, Minnesota",75.3,20.5,200231,28,66.5,38
"Scott County, Minnesota",89.2,25.8,150928,34.8,66.5,38
"Sherburne County, Minnesota",84.3,16.6,97183,32.6,66.5,38
"Sibley County, Minnesota",72.1,11.5,14836,34.2,66.5,38
"Stearns County, Minnesota",78.4,17.4,158292,31,66.5,38
"Steele County, Minnesota",78.2,17.7,37406,34.1,66.5,38
"Stevens County, Minnesota",79,18.1,9671,29.8,66.5,38
"Swift County, Minnesota",71.9,14.3,9838,30.6,66.5,38
"Todd County, Minnesota",66.3,9.4,25262,30.6,66.5,38
"Traverse County, Minnesota",69.2,11.3,3360,29.6,66.5,38
"Wabasha County, Minnesota",75.5,17.7,21387,35,66.5,38
"Wadena County, Minnesota",70.7,11.1,14065,29.9,66.5,38
"Waseca County, Minnesota",72.6,15,18968,34.1,66.5,38
"Washington County, Minnesota",87.6,29.9,267568,34.4,66.5,38
"Watonwan County, Minnesota",69.1,11.6,11253,33.8,66.5,38
"Wilkin County, Minnesota",75.5,16.2,6506,28.3,66.5,38
"Winona County, Minnesota",82.1,19.9,49671,35.6,66.5,38
"Wright County, Minnesota",82.8,19.4,141337,32.6,66.5,38
"Yellow Medicine County, Minnesota",75.2,11.9,9528,44.8,66.5,38.00
"Adams County, Mississippi",60.4,13.1,29538,57.4,72.5,40
"Alcorn County, Mississippi",60,13.1,34740,50.7,72.5,40
"Amite County, Mississippi",53.8,8.5,12720,57.1,72.5,40
"Attala County, Mississippi",58.9,10.3,17889,53.2,72.5,40
"Benton County, Mississippi",47.5,7.8,7646,50.2,72.5,40
"Bolivar County, Mississippi",58.1,16.7,30985,52.8,72.5,40
"Calhoun County, Mississippi",56,8.4,13266,53.2,72.5,40
"Carroll County, Mississippi",55.4,10.9,9998,53.9,72.5,40
"Chickasaw County, Mississippi",47.2,8.2,17106,54.3,72.5,40
"Choctaw County, Mississippi",60,14.2,8246,53,72.5,40
"Claiborne County, Mississippi",59.3,11.9,9135,56.4,72.5,40
"Clarke County, Mississippi",55.5,8.9,15615,56,72.5,40
"Clay County, Mississippi",55.2,14.6,18636,54.9,72.5,40
"Coahoma County, Mississippi",54.7,11.8,21390,51.9,72.5,40
"Copiah County, Mississippi",57.4,11.2,28368,56.5,72.5,40
"Covington County, Mississippi",51.4,9.9,18340,56.3,72.5,40
"DeSoto County, Mississippi",78.4,16,185314,50.3,72.5,40
"Forrest County, Mississippi",66.7,16.6,78158,57.9,72.5,40
"Franklin County, Mississippi",59,8.8,7675,56.9,72.5,40
"George County, Mississippi",57.8,9.2,24350,59.6,72.5,40
"Greene County, Mississippi",50.6,8,13530,58.1,72.5,40
"Grenada County, Mississippi",57.9,13.3,21629,53.3,72.5,40
"Hancock County, Mississippi",73.2,19.4,46053,60,72.5,40
"Harrison County, Mississippi",70.7,15.6,208621,60.3,72.5,40
"Hinds County, Mississippi",65.3,20.3,227742,56.2,72.5,40
"Holmes County, Mississippi",46.4,7.5,17000,54.6,72.5,40
"Humphreys County, Mississippi",51.7,10.1,7785,55.2,72.5,40
"Issaquena County, Mississippi",42.4,2.5,1338,55.1,72.5,40
"Itawamba County, Mississippi",58.9,9.2,23863,53.9,72.5,40
"Jackson County, Mississippi",73.3,15.4,143252,61,72.5,40
"Jasper County, Mississippi",48.2,10.3,16367,55.6,72.5,40
"Jefferson County, Mississippi",63,12.7,7260,56.7,72.5,40
"Jefferson Davis County, Mississippi",53.3,10,11321,56.7,72.5,40
"Jones County, Mississippi",57.2,13.9,67246,56.1,72.5,40
"Kemper County, Mississippi",47.7,8.9,8988,54.7,72.5,40
"Lafayette County, Mississippi",80.6,26.2,55813,52.2,72.5,40
"Lamar County, Mississippi",76.2,21.7,64222,57.8,72.5,40
"Lauderdale County, Mississippi",62.3,14.8,72984,55.5,72.5,40
"Lawrence County, Mississippi",51.7,12.7,12016,56.9,72.5,40
"Leake County, Mississippi",44.9,11.1,21275,53.8,72.5,40
"Lee County, Mississippi",62.3,18.3,83343,54.1,72.5,40
"Leflore County, Mississippi",57.8,11.8,28339,55,72.5,40
"Lincoln County, Mississippi",57.7,10.6,34907,56.6,72.5,40
"Lowndes County, Mississippi",62.7,16,58879,55.6,72.5,40
"Madison County, Mississippi",78.3,32,109145,54.8,72.5,40
"Marion County, Mississippi",54.2,8.9,24441,57.7,72.5,40
"Marshall County, Mississippi",51.1,10.1,33752,50.4,72.5,40
"Monroe County, Mississippi",54,11.9,34180,54.7,72.5,40
"Montgomery County, Mississippi",57,13.5,9822,52.2,72.5,40
"Neshoba County, Mississippi",49.6,8.7,29087,54.3,72.5,40
"Newton County, Mississippi",55.1,10.6,21291,55.2,72.5,40
"Noxubee County, Mississippi",47.5,7.9,10285,55.2,72.5,40
"Oktibbeha County, Mississippi",76,21.4,51788,54.7,72.5,40
"Panola County, Mississippi",52.3,11.1,33208,51.6,72.5,40
"Pearl River County, Mississippi",72.1,10,56145,59,72.5,40
"Perry County, Mississippi",58.8,7.2,11511,57.9,72.5,40
"Pike County, Mississippi",55.7,10.1,40324,57.2,72.5,40
"Pontotoc County, Mississippi",57.5,12.3,31184,53.5,72.5,40
"Prentiss County, Mississippi",59,9.5,25008,52.6,72.5,40
"Quitman County, Mississippi",43.9,8.6,6176,52.1,72.5,40
"Rankin County, Mississippi",78.8,20.5,157031,55.7,72.5,40
"Scott County, Mississippi",52.6,7.4,27990,54.8,72.5,40
"Sharkey County, Mississippi",54.4,14.8,3800,55.1,72.5,40
"Simpson County, Mississippi",55.1,12.3,25949,56.2,72.5,40
"Smith County, Mississippi",47.1,10.1,14209,55.5,72.5,40
"Stone County, Mississippi",68.8,10.2,18333,59.2,72.5,40
"Sunflower County, Mississippi",54.1,11,25971,54.1,72.5,40
"Tallahatchie County, Mississippi",49.1,8.8,12715,53.5,72.5,40
"Tate County, Mississippi",67.3,11.5,28064,50.6,72.5,40
"Tippah County, Mississippi",53.7,9.1,21815,50.9,72.5,40
"Tishomingo County, Mississippi",56,8.6,18850,51.7,72.5,40
"Tunica County, Mississippi",52.6,10,9782,50.8,72.5,40
"Union County, Mississippi",61,9.6,27777,52.5,72.5,40
"Walthall County, Mississippi",51,10.8,13884,57.5,72.5,40
"Warren County, Mississippi",63.4,16,44722,56,72.5,40
"Washington County, Mississippi",56.5,13.4,44922,54.2,72.5,40
"Wayne County, Mississippi",63.8,13.8,19779,56.4,72.5,40
"Webster County, Mississippi",57.9,11.9,9926,52.9,72.5,40
"Wilkinson County, Mississippi",50.6,10.1,8587,57.5,72.5,40
"Winston County, Mississippi",49.8,11.5,17714,54.1,72.5,40
"Yalobusha County, Mississippi",47.6,8.5,12481,52.8,72.5,40
"Yazoo County, Mississippi",53.1,8.5,26743,82,72.5,40.00
"Adair County, Missouri",76.1,16.9,25314,41.2,67.5,73
"Andrew County, Missouri",71,17.9,18135,39.7,67.5,73
"Atchison County, Missouri",69.2,16.4,5305,39.4,67.5,73
"Audrain County, Missouri",68.7,10,24962,43.5,67.5,73
"Barry County, Missouri",64.5,10.9,34534,46.4,67.5,73
"Barton County, Missouri",68.2,13.1,11637,45.2,67.5,73
"Bates County, Missouri",64.7,10.4,16042,44.6,67.5,73
"Benton County, Missouri",67.4,11.3,19394,45.3,67.5,73
"Bollinger County, Missouri",54.2,8.9,10567,44.9,67.5,73
"Boone County, Missouri",84.2,28.3,183610,44.4,67.5,73
"Buchanan County, Missouri",67.4,15.4,84793,40.5,67.5,73
"Butler County, Missouri",60,9,42130,46.8,67.5,73
"Caldwell County, Missouri",66.2,10.6,8815,40.9,67.5,73
"Callaway County, Missouri",75.6,16.4,44283,45.1,67.5,73
"Camden County, Missouri",77.9,18.2,42745,47,67.5,73
"Cape Girardeau County, Missouri",74.9,19.8,81710,45.6,67.5,73
"Carroll County, Missouri",69.4,12.8,8495,42.3,67.5,73
"Carter County, Missouri",58.1,11.9,5202,45,67.5,73
"Cass County, Missouri",79.4,17.9,107824,43,67.5,73
"Cedar County, Missouri",67.5,9.5,14188,46.2,67.5,73
"Chariton County, Missouri",69.8,13.1,7408,43.2,67.5,73
"Christian County, Missouri",79.1,20.3,88842,44.8,67.5,73
"Clark County, Missouri",56.8,8.8,6634,41,67.5,73
"Clay County, Missouri",81.8,21.7,253335,41.8,67.5,73
"Clinton County, Missouri",73.5,14.7,21184,40.5,67.5,73
"Cole County, Missouri",75.5,24.3,77279,46.5,67.5,73
"Cooper County, Missouri",72.2,15.7,17103,44.4,67.5,73
"Crawford County, Missouri",63.5,8.6,23056,44.6,67.5,73
"Dade County, Missouri",57.6,10,7569,46.1,67.5,73
"Dallas County, Missouri",65.9,7.8,17071,46.3,67.5,73
"Daviess County, Missouri",67.4,13.6,8430,41.1,67.5,73
"DeKalb County, Missouri",60.5,12.6,11029,40.4,67.5,73
"Dent County, Missouri",63.8,11.4,14421,44.9,67.5,73
"Douglas County, Missouri",64.1,10.8,11578,44.7,67.5,73
"Dunklin County, Missouri",60.1,9.7,28283,49,67.5,73
"Franklin County, Missouri",77,14.6,104682,44.6,67.5,73
"Gasconade County, Missouri",73.7,15.4,14794,44.6,67.5,73
"Gentry County, Missouri",63.5,14.6,6162,40.4,67.5,73
"Greene County, Missouri",76.3,20.1,298915,45,67.5,73
"Grundy County, Missouri",64.2,12.2,9808,40.8,67.5,73
"Harrison County, Missouri",64,11.2,8157,40.4,67.5,73
"Henry County, Missouri",67.3,11.1,21946,44,67.5,73
"Hickory County, Missouri",57.8,7.5,8279,47.5,67.5,73
"Holt County, Missouri",64.2,13.9,4223,39.8,67.5,73
"Howard County, Missouri",71.7,18.5,10151,44.1,67.5,73
"Howell County, Missouri",66.6,12,39750,47,67.5,73
"Iron County, Missouri",65.4,9.2,9537,44.2,67.5,73
"Jackson County, Missouri",74.8,21.4,717204,42.2,67.5,73
"Jasper County, Missouri",69.8,14.7,122761,45.9,67.5,73
"Jefferson County, Missouri",79,14.5,226739,46.1,67.5,73
"Johnson County, Missouri",81.3,17.3,54013,42.4,67.5,73
"Knox County, Missouri",59.7,10.9,3744,41.2,67.5,73
"Laclede County, Missouri",65.4,10.1,36039,45.6,67.5,73
"Lafayette County, Missouri",70.3,14.3,32984,42.7,67.5,73
"Lawrence County, Missouri",63.3,10.7,38001,45.6,67.5,73
"Lewis County, Missouri",63,9.3,10032,41.7,67.5,73
"Lincoln County, Missouri",79.3,11.6,59574,44.7,67.5,73
"Linn County, Missouri",62.3,12.9,11874,41.4,67.5,73
"Livingston County, Missouri",61.1,13.8,14557,41.1,67.5,73
"McDonald County, Missouri",58.4,7.4,23303,47.2,67.5,73
"Macon County, Missouri",65.2,12,15209,42,67.5,73
"Madison County, Missouri",62.7,9.4,12626,44.4,67.5,73
"Maries County, Missouri",63.1,11.8,8432,45.9,67.5,73
"Marion County, Missouri",70.1,16.7,28525,42.9,67.5,73
"Mercer County, Missouri",68.1,13.1,3538,39.7,67.5,73
"Miller County, Missouri",72.4,13.4,24722,46.6,67.5,73
"Mississippi County, Missouri",57.2,9.5,12577,48,67.5,73
"Moniteau County, Missouri",70.8,13.1,15473,45.4,67.5,73
"Monroe County, Missouri",59.9,9.9,8666,42.8,67.5,73
"Montgomery County, Missouri",69.3,11.7,11322,44.3,67.5,73
"Morgan County, Missouri",64.6,8.7,21006,44.8,67.5,73
"New Madrid County, Missouri",57.5,8.8,16434,48.7,67.5,73
"Newton County, Missouri",67.7,14.6,58648,46.4,67.5,73
"Nodaway County, Missouri",76.7,16,21241,39.7,67.5,73
"Oregon County, Missouri",65.5,12.9,8635,47.5,67.5,73
"Osage County, Missouri",71.5,14.3,13274,46,67.5,73
"Ozark County, Missouri",59.5,9.4,8553,46.3,67.5,73
"Pemiscot County, Missouri",52.7,8.2,15661,49.7,67.5,73
"Perry County, Missouri",67.6,13.3,18956,44.7,67.5,73
"Pettis County, Missouri",73.9,12.1,42980,43.5,67.5,73
"Phelps County, Missouri",79.2,18.7,44638,45.7,67.5,73
"Pike County, Missouri",60.4,10.7,17587,44,67.5,73
"Platte County, Missouri",85.6,28.3,106718,42,67.5,73
"Polk County, Missouri",69.4,13.5,31519,46.4,67.5,73
"Pulaski County, Missouri",80.6,15.1,53955,46.3,67.5,73
"Putnam County, Missouri",59.9,14.6,4681,39.8,67.5,73
"Ralls County, Missouri",70,10.9,10355,43.7,67.5,73
"Randolph County, Missouri",69.8,12.4,24716,43.3,67.5,73
"Ray County, Missouri",71.3,9.8,23158,41.8,67.5,73
"Reynolds County, Missouri",68.4,11.9,6096,43.9,67.5,73
"Ripley County, Missouri",64.3,9.6,10679,46.7,67.5,73
"St. Charles County, Missouri",88.9,27.4,405262,45.5,67.5,73
"St. Clair County, Missouri",64.4,10.9,9284,45.9,67.5,73
"Ste. Genevieve County, Missouri",69.6,12.4,18479,45.4,67.5,73
"St. Francois County, Missouri",66.3,9.9,66922,45.2,67.5,73
"St. Louis County, Missouri",80.7,30.6,1004125,45.9,67.5,73
"Saline County, Missouri",68.2,14.4,23333,43.8,67.5,73
"Schuyler County, Missouri",61.3,6.9,4032,40.6,67.5,73
"Scotland County, Missouri",72.2,9.7,4716,40.8,67.5,73
"Scott County, Missouri",63.9,13.6,38059,47.3,67.5,73
"Shannon County, Missouri",59.9,12.1,7031,45.5,67.5,73
"Shelby County, Missouri",64.1,13.1,6103,41.6,67.5,73
"Stoddard County, Missouri",61.4,8.8,28672,47.1,67.5,73
"Stone County, Missouri",78.9,15.8,31076,45.9,67.5,73
"Sullivan County, Missouri",64,10.9,5999,40.5,67.5,73
"Taney County, Missouri",76.5,14.6,56066,46.5,67.5,73
"Texas County, Missouri",64,10.9,24487,45.2,67.5,73
"Vernon County, Missouri",70.9,12.2,19707,44.7,67.5,73
"Warren County, Missouri",76.8,13.2,35532,44.4,67.5,73
"Washington County, Missouri",60,8.4,23514,44.9,67.5,73
"Wayne County, Missouri",61.9,8.7,10974,44.5,67.5,73
"Webster County, Missouri",67.1,11.4,39085,43.9,67.5,73
"Worth County, Missouri",63.5,13.3,1973,39.9,67.5,73
"Wright County, Missouri",62.9,7.4,18188,43.8,67.5,73
"St. Louis city, Missouri",67.5,27,301578,46,67.5,73
"Beaverhead County, Montana",79,22.4,9371,19.2,58,17
"Big Horn County, Montana",64.5,10.7,13124,25.6,58,17
"Blaine County, Montana",65.2,14.4,7044,22.4,58,17
"Broadwater County, Montana",72.6,17.5,6774,21.6,58,17
"Carbon County, Montana",74.4,24.7,10473,24.7,58,17
"Carter County, Montana",79.4,14.6,1415,25,58,17
"Cascade County, Montana",73.8,18,84414,22.7,58,17
"Chouteau County, Montana",71.5,19.6,5895,24,58,17
"Custer County, Montana",79.1,19.3,11867,24.2,58,17
"Daniels County, Montana",68.1,18.1,1661,19.1,58,17
"Dawson County, Montana",73.5,18,8940,22.8,58,17
"Deer Lodge County, Montana",61.5,15.3,9421,20.6,58,17
"Fallon County, Montana",72.7,10.1,3049,23.4,58,17
"Fergus County, Montana",73.9,19.4,11446,24,58,17
"Flathead County, Montana",80,22.3,104357,21.9,58,17
"Gallatin County, Montana",89.1,31,118960,19.9,58,17
"Garfield County, Montana",70.5,12.8,1173,22.6,58,17
"Glacier County, Montana",62.9,13.8,13778,21.5,58,17
"Golden Valley County, Montana",69.3,16.9,823,25.2,58,17
"Granite County, Montana",78.8,23.4,3309,22,58,17
"Hill County, Montana",71.6,16.7,16309,20.7,58,17
"Jefferson County, Montana",84.5,25.5,12085,22.1,58,17
"Judith Basin County, Montana",75.1,17.8,2023,23.8,58,17
"Lake County, Montana",76.3,21.1,31134,24.8,58,17
"Lewis and Clark County, Montana",83.2,29,70973,21.8,58,17
"Liberty County, Montana",72.6,19.6,1959,21.2,58,17
"Lincoln County, Montana",76,15.2,19677,24,58,17
"McCone County, Montana",79.5,12.1,1729,21.5,58,17
"Madison County, Montana",79.9,26.5,8623,21.1,58,17
"Meagher County, Montana",75.8,18.7,1927,22.2,58,17
"Mineral County, Montana",74.9,16,4535,24.9,58,17
"Missoula County, Montana",84.3,30.3,117922,23,58,17
"Musselshell County, Montana",68.7,13.1,4730,25.2,58,17
"Park County, Montana",79.9,23.7,17191,21.4,58,17
"Petroleum County, Montana",75,19,496,24.8,58,17
"Phillips County, Montana",70.2,12.4,4217,22.3,58,17
"Pondera County, Montana",77.2,16.5,5898,22.8,58,17
"Powder River County, Montana",78.3,17.5,1694,25.9,58,17
"Powell County, Montana",65.2,13.5,6946,21.3,58,17
"Prairie County, Montana",81.5,21.7,1088,23.3,58,17
"Ravalli County, Montana",81.6,20.9,44174,23.5,58,17
"Richland County, Montana",71.1,11.9,11491,21.9,58,17
"Roosevelt County, Montana",57.8,11.1,10794,20.3,58,17
"Rosebud County, Montana",66.7,12.2,8329,24.5,58,17
"Sanders County, Montana",74,13.9,12400,24.3,58,17
"Sheridan County, Montana",78.1,17.3,3539,20.5,58,17
"Silver Bow County, Montana",72.2,18.7,35133,21.1,58,17
"Stillwater County, Montana",79.1,20.1,8963,25.1,58,17
"Sweet Grass County, Montana",78.6,15.6,3678,24.8,58,17
"Teton County, Montana",76.3,17,6226,23,58,17
"Toole County, Montana",69.6,15.8,4971,21.6,58,17
"Treasure County, Montana",70.9,19.2,762,24.7,58,17
"Valley County, Montana",75.7,13.4,7578,20.7,58,17
"Wheatland County, Montana",68.7,14.6,2069,24.9,58,17
"Wibaux County, Montana",71.1,18.4,937,23.3,58,17
"Yellowstone County, Montana",80.2,21.9,164731,25.2,58,17
"Adams County, Nebraska",75.4,16.7,31205,37.5,67.5,27
"Antelope County, Nebraska",69.7,12.5,6295,33.9,67.5,27
"Arthur County, Nebraska",72.9,17.1,434,33.4,67.5,27
"Banner County, Nebraska",80.3,18.4,674,31.3,67.5,27
"Blaine County, Nebraska",81.4,20.2,431,33.1,67.5,27
"Boone County, Nebraska",69,12.8,5379,34.8,67.5,27
"Box Butte County, Nebraska",74.8,12.3,10842,30.3,67.5,27
"Boyd County, Nebraska",69.4,14.7,1810,33.7,67.5,27
"Brown County, Nebraska",77.4,17.7,2903,32.6,67.5,27
"Buffalo County, Nebraska",76.4,20.5,50084,37.6,67.5,27
"Burt County, Nebraska",66.4,15.4,6722,37.4,67.5,27
"Butler County, Nebraska",73.1,15.7,8369,37,67.5,27
"Cass County, Nebraska",82.4,19.8,26598,37.8,67.5,27
"Cedar County, Nebraska",70.1,14.3,8380,32.6,67.5,27
"Chase County, Nebraska",75.1,15,3893,36.2,67.5,27
"Cherry County, Nebraska",75.1,17.7,5455,30.5,67.5,27
"Cheyenne County, Nebraska",75.6,17.8,9468,32.4,67.5,27
"Clay County, Nebraska",75.8,13.9,6104,37.4,67.5,27
"Colfax County, Nebraska",57.7,9.3,10582,36.1,67.5,27
"Cuming County, Nebraska",67.8,15.5,9013,36.2,67.5,27
"Custer County, Nebraska",72.5,17.5,10545,34.7,67.5,27
"Dakota County, Nebraska",70.6,8.4,21582,34.2,67.5,27
"Dawes County, Nebraska",77.8,24.9,8199,30.7,67.5,27
"Dawson County, Nebraska",66.8,10.5,24111,36.9,67.5,27
"Deuel County, Nebraska",73.1,14.7,1838,34.2,67.5,27
"Dixon County, Nebraska",63.7,15.3,5606,33.2,67.5,27
"Dodge County, Nebraska",73.5,12.9,37167,37,67.5,27
"Douglas County, Nebraska",80.4,25.4,584526,37.4,67.5,27
"Dundy County, Nebraska",70.7,22.2,1654,37,67.5,27
"Fillmore County, Nebraska",74.6,16.5,5551,37.6,67.5,27
"Franklin County, Nebraska",65.8,14.2,2889,38.1,67.5,27
"Frontier County, Nebraska",68.6,16.5,2519,37.1,67.5,27
"Furnas County, Nebraska",67.6,13.7,4636,37.6,67.5,27
"Gage County, Nebraska",73.2,14.4,21704,38.4,67.5,27
"Garden County, Nebraska",75.9,17.9,1874,32.3,67.5,27
"Garfield County, Nebraska",73.3,24.4,1813,33.8,67.5,27
"Gosper County, Nebraska",79,24.2,1893,37.4,67.5,27
"Grant County, Nebraska",71.7,17.3,611,31.8,67.5,27
"Greeley County, Nebraska",69.9,13,2188,34.6,67.5,27
"Hall County, Nebraska",70.8,13.3,62895,37.4,67.5,27
"Hamilton County, Nebraska",79.8,16.6,9429,37.8,67.5,27
"Harlan County, Nebraska",72.8,18.4,3073,38.4,67.5,27
"Hayes County, Nebraska",70.4,14.3,856,36.6,67.5,27
"Hitchcock County, Nebraska",65.8,11.9,2616,37.5,67.5,27
"Holt County, Nebraska",72.6,16.6,10127,33.3,67.5,27
"Hooker County, Nebraska",66.8,18,711,32.2,67.5,27
"Howard County, Nebraska",70.5,15,6475,36.3,67.5,27
"Jefferson County, Nebraska",69.3,13.1,7240,38.4,67.5,27
"Johnson County, Nebraska",69,13.1,5290,38.1,67.5,27
"Kearney County, Nebraska",70.4,17.6,6688,37.8,67.5,27
"Keith County, Nebraska",68.7,13.8,8335,35.2,67.5,27
"Keya Paha County, Nebraska",71.3,20.2,769,33,67.5,27
"Kimball County, Nebraska",67.6,10.2,3434,31,67.5,27
"Knox County, Nebraska",68.4,13.7,8391,33.4,67.5,27
"Lancaster County, Nebraska",84.3,24.2,322608,37.9,67.5,27
"Lincoln County, Nebraska",70.3,15.2,34676,35.5,67.5,27
"Logan County, Nebraska",78.7,18.6,716,33.2,67.5,27
"Loup County, Nebraska",64.9,17,607,33.7,67.5,27
"McPherson County, Nebraska",75.4,20.3,399,33.4,67.5,27
"Madison County, Nebraska",73.8,15.2,35585,34.7,67.5,27
"Merrick County, Nebraska",68.7,12.3,7668,37.4,67.5,27
"Morrill County, Nebraska",68,15.8,4555,31.7,67.5,27
"Nance County, Nebraska",72.3,13.6,3380,36.4,67.5,27
"Nemaha County, Nebraska",77.3,18.1,7074,38.9,67.5,27
"Nuckolls County, Nebraska",70.4,17.6,4095,38.1,67.5,27
"Otoe County, Nebraska",73,17.4,15912,38,67.5,27
"Pawnee County, Nebraska",60,11.5,2544,38.6,67.5,27
"Perkins County, Nebraska",72.1,19,2858,35.4,67.5,27
"Phelps County, Nebraska",74.1,17.8,8968,37.9,67.5,27
"Pierce County, Nebraska",72,16.3,7317,33.4,67.5,27
"Platte County, Nebraska",74,14.9,34296,35.8,67.5,27
"Polk County, Nebraska",74.4,13.4,5214,38.1,67.5,27
"Red Willow County, Nebraska",74.9,15.7,10702,37.4,67.5,27
"Richardson County, Nebraska",73.3,13.7,7871,39.5,67.5,27
"Rock County, Nebraska",76,23.4,1262,33,67.5,27
"Saline County, Nebraska",70.8,12.1,14292,38.1,67.5,27
"Sarpy County, Nebraska",87.5,25.1,190604,37.6,67.5,27
"Saunders County, Nebraska",78,18.2,22278,37.4,67.5,27
"Scotts Bluff County, Nebraska",69.7,15.4,36084,31.8,67.5,27
"Seward County, Nebraska",80,19,17609,37.9,67.5,27
"Sheridan County, Nebraska",69.3,14.8,5127,29.4,67.5,27
"Sherman County, Nebraska",67,16.1,2959,36,67.5,27
"Sioux County, Nebraska",68.9,20,1135,30.2,67.5,27
"Stanton County, Nebraska",79.1,13.6,5842,35.2,67.5,27
"Thayer County, Nebraska",69.3,14.7,5034,38.1,67.5,27
"Thomas County, Nebraska",80.4,15.8,669,32.3,67.5,27
"Thurston County, Nebraska",62.2,10.9,6773,35.8,67.5,27
"Valley County, Nebraska",68.8,19.9,4059,34.7,67.5,27
"Washington County, Nebraska",81.7,21.5,20865,37.4,67.5,27
"Wayne County, Nebraska",85.7,17.8,9697,34,67.5,27
"Webster County, Nebraska",72.3,16.3,3395,37.9,67.5,27
"Wheeler County, Nebraska",68.3,19,774,34,67.5,27
"York County, Nebraska",79.2,17.9,14125,38.3,67.5,27
"Churchill County, Nevada",79.1,12.4,25516,33.5,51.5,17
"Clark County, Nevada",79.5,17,2265461,48,51.5,17
"Douglas County, Nevada",86,24.2,49488,34.4,51.5,17
"Elko County, Nevada",77.1,10.6,53702,27.3,51.5,17
"Esmeralda County, Nevada",80.4,20.4,729,37.6,51.5,17
"Eureka County, Nevada",80.3,7.7,1855,29.3,51.5,17
"Humboldt County, Nevada",72.6,12.2,17285,32.2,51.5,17
"Lander County, Nevada",77.2,8.4,5734,31.5,51.5,17
"Lincoln County, Nevada",73.5,13.4,4499,39.2,51.5,17
